SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,f1,f2,g
0.33,0.055,0.87,238,44,126,151,231,236,179,2.52E-06,6.00E-06,0.235,0.224,0.011
0.19,0.032,0.7,436,82,123,103,274,209,189,8.05E-06,5.00E-06,0.372,0.117,0.255
0.29,0.058,0.78,864,42,147,50,155,216,180,4.96E-06,4.00E-06,0.696,0.204,0.492
0.14,0.017,0.85,270,68,215,167,286,225,170,5.31E-06,3.00E-06,0.232,0.115,0.117
0.24,0.038,0.95,750,53,129,160,286,211,166,6.95E-06,5.00E-06,0.262,0.112,0.15
0.33,0.087,0.91,847,80,213,42,193,239,189,5.76E-06,1.60E-05,0.743,0.232,0.511
0.32,0.037,0.93,720,68,215,124,160,206,185,7.98E-06,7.00E-06,0.291,0.194,0.097
0.29,0.077,0.97,558,25,164,189,206,290,183,1.53E-05,1.00E-05,0.249,0.169,0.08
0.4,0.062,0.96,885,60,186,79,210,217,189,2.70E-05,1.90E-05,0.388,0.131,0.257
0.19,0.021,0.88,693,30,222,164,207,246,186,9.38E-06,7.00E-06,0.239,0.163,0.076
0.22,0.025,0.96,721,14,155,167,242,295,181,8.82E-06,1.80E-05,0.257,0.167,0.09
0.3,0.024,0.8,463,21,199,94,292,277,174,2.97E-06,3.00E-06,0.375,0.162,0.213
0.18,0.035,0.92,207,32,210,141,149,253,165,1.84E-06,4.00E-06,0.266,0.236,0.03
0.32,0.063,0.86,450,97,183,198,134,230,161,1.44E-05,1.60E-05,0.158,0.281,-0.123
0.37,0.015,0.97,329,80,198,146,234,230,155,1.00E-05,1.70E-05,0.194,0.201,-0.007
0.26,0.028,0.95,145,92,220,153,166,258,199,1.75E-05,1.40E-05,0.206,0.203,0.003
0.18,0.065,0.92,504,84,176,54,148,242,153,2.09E-05,1.80E-05,0.669,0.225,0.444
