SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,SD,f1,f2,g
0.37,0.032,0.81,389,61,195,55,159,288,190,2.73E-06,1.00E-06,15,0.346,0.311,0.035
0.15,0.031,0.82,364,68,198,53,106,313,181,4.00E-06,5.00E-06,30,0.345,0.188,0.157
0.17,0.044,0.91,995,69,128,71,141,335,194,5.28E-06,4.00E-06,20,0.34,0.223,0.117
0.33,0.04,0.99,635,4,222,51,198,305,198,2.92E-06,2.00E-06,22,0.339,0.241,0.098
0.15,0.048,0.91,91,70,213,62,105,383,183,4.20E-06,1.00E-05,24,0.336,0.301,0.035
0.35,0.074,0.9,306,19,116,62,118,256,192,1.26E-06,2.00E-06,26,0.333,0.209,0.124
0.31,0.08,0.8,391,60,162,91,190,390,173,5.58E-06,3.00E-06,29,0.331,0.278,0.053
0.16,0.091,0.82,516,56,140,62,160,305,199,7.74E-06,9.00E-06,20,0.33,0.35,-0.02
0.31,0.094,0.86,401,2,117,50,183,341,162,1.10E-06,1.00E-06,26,0.33,0.35,-0.02
0.1,0.078,1,250,2.31,115,50,140,300,200,5.00E-06,5.00E-06,10,0.327,0.343,-0.016
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.326,0.363,-0.037
0.1,0.078,1,250,2.31,115,50,150,300,150,5.00E-06,5.00E-06,10,0.323,0.308,0.015
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.321,0.312,0.009
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.317,0.357,-0.04
0.36,0.093,0.84,221,18,116,54,185,297,153,1.07E-05,1.00E-05,28,0.315,0.221,0.094
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,10,0.315,0.2,0.115
0.2,0.075,0.9,735,43,152,60,175,363,168,3.12E-06,8.00E-06,21,0.313,0.206,0.107
0.16,0.029,0.8,268,62,221,98,194,320,183,7.28E-06,8.00E-06,19,0.313,0.224,0.089
0.39,0.084,0.85,898,48,153,91,152,358,196,4.80E-06,5.00E-06,14,0.306,0.311,-0.005
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,1.50E-05,10,0.305,0.411,-0.106
0.17,0.07,0.97,182,10,214,58,125,377,198,8.45E-06,5.00E-06,23,0.304,0.352,-0.048
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,20,0.303,0.388,-0.085
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,5.00E-06,30,0.301,0.207,0.094
0.28,0.055,0.84,740,12,121,56,175,373,185,7.40E-06,4.00E-06,20,0.3,0.256,0.044
0.1,0.078,1,250,2.31,115,50,200,300,150,5.00E-06,5.00E-06,10,0.3,0.406,-0.106
0.1,0.078,1,250,2.31,115,50,140,400,150,5.00E-06,5.00E-06,10,0.299,0.206,0.093
0.1,0.078,1,250,2.31,115,50,140,300,150,5.00E-06,1.00E-05,10,0.298,0.313,-0.015
0.1,0.078,1,250,2.31,115,50,140,300,100,5.00E-06,5.00E-06,10,0.296,0.325,-0.029
0.21,0.044,0.94,223,95,184,172,111,373,160,2.60E-06,2.00E-06,28,0.296,0.369,-0.073
0.17,0.07,0.91,774,32,144,170,159,230,192,5.19E-06,3.00E-06,28,0.294,0.355,-0.061
0.3,0.092,0.81,158,57,128,126,114,304,188,2.78E-06,2.00E-06,18,0.292,0.272,0.02
0.18,0.062,0.83,586,72,223,161,166,379,200,4.86E-06,9.00E-06,25,0.292,0.285,0.007
