SPO,BMPO,BFPO,SPE,BMPE,BFPE,ST,BT,WP,FN,SFR,BFR,FP,f1,f2,g
0.24,0.068,0.93,498,46,402,73,230,646,232,1.69E-05,6.00E-06,0,0.624,0.4,0.224
0.4,0.077,0.83,208,81,421,109,249,576,268,1.02E-05,4.00E-06,0.5,0.354,0.4,-0.046
0.38,0.016,0.88,850,43,390,198,196,426,260,9.78E-06,6.00E-06,0.5,0.293,0.4,-0.107
0.18,0.01,0.83,180,86,302,99,225,407,360,2.35E-05,8.00E-06,0,0.404,0.4,0.004
0.4,0.059,0.87,833,47,231,145,229,601,284,1.15E-05,8.00E-06,1,0.399,0.4,-0.001
0.22,0.016,0.85,441,90,391,119,173,495,394,2.02E-05,8.00E-06,0,0.393,0.4,-0.007
0.38,0.056,0.91,289,87,219,78,207,576,254,2.96E-05,1.00E-05,0,0.392,0.399,-0.007
0.34,0.043,0.82,529,15,292,69,101,468,296,2.34E-05,8.00E-06,1,0.508,0.399,0.109
0.15,0.089,0.92,193,44,403,193,241,595,230,3.36E-06,2.00E-06,0.5,0.31,0.398,-0.088
0.16,0.086,0.84,669,65,225,93,113,348,326,3.71E-06,7.00E-06,0,0.296,0.398,-0.102
0.35,0.067,0.85,376,84,386,169,164,552,374,1.25E-05,1.00E-05,0.5,0.34,0.398,-0.058
0.37,0.03,0.85,577,43,421,142,241,448,360,9.92E-06,4.00E-06,0,0.339,0.398,-0.059
0.1,0.059,0.98,557,45,323,62,202,385,290,8.05E-06,7.00E-06,0,0.506,0.398,0.108
0.21,0.085,0.98,810,18,209,192,145,353,314,1.50E-05,8.00E-06,0,0.304,0.398,-0.094
0.37,0.045,0.98,83,91,175,103,255,623,384,4.06E-06,7.00E-06,0,0.642,0.396,0.246
0.33,0.037,0.87,841,77,268,104,201,396,204,1.52E-05,8.00E-06,0,0.363,0.396,-0.033
0.22,0.043,0.84,820,68,404,137,114,337,352,8.00E-07,1.00E-06,0,0.272,0.396,-0.124
0.17,0.041,0.87,667,13,286,120,127,606,394,1.62E-06,3.00E-06,0,0.333,0.396,-0.063
0.12,0.043,0.92,171,27,152,185,117,324,384,5.54E-06,2.00E-06,0,0.232,0.396,-0.164
0.14,0.01,0.82,84,31,240,57,220,556,240,3.12E-06,6.00E-06,0,0.533,0.396,0.137
0.21,0.029,0.83,282,23,327,104,229,680,392,2.68E-05,9.00E-06,1,0.492,0.395,0.097
